Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
ENSG00000120709,2191,2227,1784,2104,1972,2233
ENSG00000120725,475,498,417,847,748,1135
ENSG00000120727,2218,2122,2074,1760,1646,2205
ENSG00000120729,25,24,30,16,22,19
ENSG00000120733,2847,3014,2653,2764,2544,3153
ENSG00000120738,1833,1306,1922,6019,5888,9978
ENSG00000120742,1891,1937,1912,3582,3351,5013
ENSG00000120756,343,423,420,648,605,525
ENSG00000120784,190,221,274,312,283,326
ENSG00000120798,687,872,745,848,810,781
ENSG00000120800,1329,1442,1241,2374,2191,3306
ENSG00000120802,764,738,1245,3472,3159,3255
ENSG00000120805,868,989,911,1297,1213,1370
ENSG00000120820,345,404,374,136,99,104
ENSG00000120832,142,148,122,154,163,159
ENSG00000120833,283,320,206,190,181,328
ENSG00000120837,159,185,251,570,551,529
ENSG00000120860,398,382,395,354,314,404
ENSG00000120868,592,656,449,460,388,408
ENSG00000120875,0,1,3,0,1,1
ENSG00000120885,15897,15168,20504,18536,16068,21195
ENSG00000120889,9667,10759,8438,5955,5682,6379
ENSG00000120896,1042,806,1303,1930,1584,3332
ENSG00000120899,229,212,253,251,202,329
ENSG00000120903,0,0,0,0,0,1
ENSG00000120907,5,4,6,15,16,27
ENSG00000120910,143,129,118,179,178,244
ENSG00000120913,681,651,736,532,460,547
ENSG00000120915,80,85,140,252,221,123
ENSG00000120925,153,197,204,228,228,239
ENSG00000120937,29,43,8,10,9,24
ENSG00000120942,994,1050,926,1298,1300,1851
ENSG00000120948,3609,3853,3763,5530,5130,6131
ENSG00000120949,73,58,88,511,544,1122
ENSG00000120952,2,0,0,0,0,0
ENSG00000120963,2305,2183,2142,4392,4218,6103
ENSG00000120992,1776,1921,1748,3847,3609,4457
ENSG00000121005,225,193,349,332,292,184
ENSG00000121022,1115,1205,1145,1503,1406,1829
ENSG00000121039,837,871,758,643,559,944
ENSG00000121053,4,10,16,14,13,18
ENSG00000121057,1871,1922,1912,3900,3523,5243
ENSG00000121058,773,786,786,1079,1054,1253
ENSG00000121060,2125,2385,2142,5603,5279,7448
ENSG00000121064,1680,1690,1896,948,802,1021
ENSG00000121067,1768,1881,1894,2365,2201,2225
ENSG00000121068,9,16,18,5,0,4
ENSG00000121073,1512,1470,1466,1554,1480,1946
ENSG00000121075,96,73,104,181,155,263
ENSG00000121101,56,76,78,36,20,28
ENSG00000121104,720,676,673,296,268,378
ENSG00000121152,484,370,875,3891,3578,4705
ENSG00000121207,13,9,1,5,6,27
ENSG00000121210,321,298,353,885,753,746
ENSG00000121211,39,34,79,538,515,502
ENSG00000121236,519,607,494,410,354,249
ENSG00000121270,3,1,6,7,6,13
ENSG00000121274,1175,1199,1019,862,816,1076
ENSG00000121281,1658,1559,1397,2380,2163,3942
ENSG00000121289,1273,1362,1299,1349,1279,1944
ENSG00000121297,1715,1613,1652,1126,1045,1684
ENSG00000121310,8,7,10,16,10,18
ENSG00000121314,2,1,2,0,0,2
ENSG00000121316,4,2,2,2,0,4
ENSG00000121318,22,17,9,10,7,8
ENSG00000121335,0,0,0,0,0,0
ENSG00000121350,1223,1339,1171,2241,2052,2559
ENSG00000121351,5,13,9,4,2,0
ENSG00000121361,152,200,218,62,64,46
ENSG00000121377,0,1,0,0,0,3
ENSG00000121380,20,24,19,18,22,20
ENSG00000121381,0,0,0,0,0,0
ENSG00000121390,1854,2012,1968,3167,2837,3567
ENSG00000121406,414,358,348,289,290,401
ENSG00000121410,12,12,15,12,9,13
ENSG00000121413,333,311,372,330,217,425
ENSG00000121417,378,402,321,252,245,269
ENSG00000121440,103,128,106,226,220,300
ENSG00000121446,0,1,1,2,0,1
ENSG00000121454,372,416,362,341,381,468
ENSG00000121481,902,962,947,1447,1201,1192
ENSG00000121486,680,758,799,559,574,593
ENSG00000121542,282,348,284,379,365,418
ENSG00000121552,2,0,0,45,29,32
ENSG00000121570,0,0,0,0,0,0
ENSG00000121577,32,20,24,14,21,48
ENSG00000121578,855,925,858,696,672,784
ENSG00000121579,2982,2987,3151,8567,8076,10771
ENSG00000121594,1,1,2,0,2,0
ENSG00000121621,171,213,342,1500,1369,1391
ENSG00000121634,0,0,0,0,0,0
ENSG00000121644,1132,1377,1187,3420,3102,3577
ENSG00000121653,1553,1522,1622,1383,1151,2044
ENSG00000121671,928,939,835,787,694,945
ENSG00000121680,1633,1521,1427,1389,1399,2411
ENSG00000121690,260,238,234,328,312,438
ENSG00000121691,801,851,1011,621,560,692
ENSG00000121716,535,429,368,395,388,657
ENSG00000121741,2833,3173,2642,1906,1800,2196
ENSG00000121742,0,0,0,0,0,0
ENSG00000121743,0,0,0,0,0,1
ENSG00000121749,1393,1339,1229,1240,1227,1629
ENSG00000121753,2202,1959,2350,1294,1101,1401
ENSG00000121764,7,7,10,9,9,10
ENSG00000121766,368,360,390,699,585,758
ENSG00000121769,13,13,11,17,19,96
ENSG00000121774,3931,4257,4466,6884,6323,7823
ENSG00000121775,605,530,622,734,715,984
ENSG00000121797,130,124,110,175,170,374
ENSG00000121807,6,2,4,0,0,0
ENSG00000121851,312,330,278,229,195,295
ENSG00000121853,0,5,3,0,2,0
ENSG00000121858,4,1,3,1,1,0
ENSG00000121864,1171,1274,1193,1390,1204,1650
ENSG00000121871,14,22,24,15,8,6
ENSG00000121879,1477,1739,1538,1287,1195,1461
ENSG00000121892,7704,8328,7263,10687,10037,11996
ENSG00000121895,11,5,2,2,5,16
ENSG00000121897,127,138,137,379,350,522
ENSG00000121898,110,100,118,252,259,437
ENSG00000121900,722,685,729,1090,1025,1692
ENSG00000121903,219,229,203,226,229,290
ENSG00000121904,489,456,516,192,218,573
ENSG00000121905,5,6,10,5,2,12
ENSG00000121931,593,612,478,554,565,704
ENSG00000121933,8,12,6,6,9,2
ENSG00000121940,650,624,637,864,813,982
ENSG00000121957,554,592,740,2684,2555,2156
ENSG00000121964,888,958,764,513,468,700
ENSG00000121966,0,0,0,0,0,0
ENSG00000121988,123,164,175,275,296,338
ENSG00000121989,499,615,514,423,459,458
ENSG00000122008,408,434,444,462,454,479
ENSG00000122012,3,7,16,35,38,22
ENSG00000122025,0,0,1,0,0,1
ENSG00000122026,10253,10488,10787,17138,15573,21836
ENSG00000122033,237,274,231,318,310,385
ENSG00000122034,1226,1367,1234,1178,1077,1554
ENSG00000122035,14,4,10,26,30,43
ENSG00000122042,1290,1450,1317,1273,1089,1489
ENSG00000122068,3014,3309,3210,3155,2930,3533
ENSG00000122085,559,529,538,668,609,766
ENSG00000122121,0,0,1,0,0,1
ENSG00000122122,8,1,4,2,0,8
ENSG00000122126,2003,2455,1873,1773,1581,1986
ENSG00000122133,4,4,1,6,3,3
ENSG00000122136,0,0,0,0,0,0
ENSG00000122140,1641,1574,1460,2721,2585,4695
ENSG00000122145,9,23,24,25,23,11
ENSG00000122176,0,2,7,1,4,2
ENSG00000122180,0,0,0,0,0,0
ENSG00000122188,0,0,0,1,0,2
ENSG00000122194,2,8,2,5,2,3
ENSG00000122203,3795,4083,3458,3878,3800,4534
ENSG00000122218,8823,8926,7904,7068,6466,8905
ENSG00000122223,3,7,5,0,1,2
ENSG00000122224,8,16,15,6,3,7
ENSG00000122254,10,6,10,2,2,4
ENSG00000122257,2428,2706,2288,3160,2912,4511
ENSG00000122299,1903,2158,1802,2055,1933,2103
ENSG00000122304,0,0,1,0,0,0
ENSG00000122335,840,946,912,1007,1049,1071
ENSG00000122359,6586,6479,6944,6885,6214,9664
ENSG00000122367,19,26,28,40,36,117
ENSG00000122375,0,0,0,0,0,0
ENSG00000122376,493,557,509,883,889,1007
ENSG00000122378,0,1,0,0,1,1
ENSG00000122386,816,762,702,593,490,1041
ENSG00000122390,2475,2322,2214,2354,2152,3362
ENSG00000122406,34621,33989,33565,45468,42243,54887
ENSG00000122417,2210,2479,2367,2180,2098,2252
ENSG00000122420,48,51,69,83,54,67
ENSG00000122432,18,26,31,27,34,33
ENSG00000122435,675,622,527,1137,1020,1201
ENSG00000122477,85,109,105,70,41,91
ENSG00000122481,117,110,100,154,116,161
ENSG00000122482,2740,3246,2583,1971,1868,1802
ENSG00000122483,253,264,330,990,923,1071
ENSG00000122484,1050,1092,973,1063,1062,1254
ENSG00000122490,1666,1622,1760,2576,2193,4213
ENSG00000122507,339,341,313,168,136,131
ENSG00000122512,591,583,555,659,560,698
ENSG00000122515,5766,5213,4603,5113,4698,7742
ENSG00000122543,0,0,0,1,1,0
ENSG00000122545,3660,4125,4070,3749,3530,4892
ENSG00000122547,206,203,223,289,230,607
ENSG00000122550,920,1123,931,747,746,825
ENSG00000122557,652,653,555,802,791,1015
ENSG00000122565,4795,4980,5457,9186,8321,10451
ENSG00000122566,24163,25411,26597,37837,35365,50168
ENSG00000122574,169,142,178,377,339,413
ENSG00000122584,0,7,0,9,7,5
ENSG00000122585,0,0,1,0,0,0
ENSG00000122591,931,1075,1118,961,849,962
ENSG00000122592,130,89,112,132,124,152
ENSG00000122641,3289,3381,1992,1399,1241,809
ENSG00000122642,1015,1049,1518,2616,2699,2455
ENSG00000122643,277,326,347,798,772,1000
ENSG00000122644,451,535,450,807,760,926
ENSG00000122674,955,984,895,529,469,702
ENSG00000122678,937,819,811,1060,1023,1819
ENSG00000122679,0,0,0,0,0,0
ENSG00000122687,903,809,914,1982,1753,2806
ENSG00000122691,1,0,0,0,0,0
ENSG00000122692,2938,3099,2876,2878,2737,3113
ENSG00000122694,606,571,665,560,508,580
ENSG00000122696,696,745,582,721,695,758
ENSG00000122705,9448,9611,9022,10671,9883,13746
ENSG00000122707,274,270,315,427,388,397
ENSG00000122711,4,1,2,0,3,1
ENSG00000122728,2,1,1,1,0,1
ENSG00000122729,3488,3749,3403,3386,3006,4021
ENSG00000122733,182,192,116,33,26,35
ENSG00000122735,76,74,67,32,27,26
ENSG00000122741,2158,2301,2011,1664,1537,2239
ENSG00000122756,627,583,510,846,717,1140
ENSG00000122778,1337,1321,1218,956,889,1387
ENSG00000122779,749,835,734,1015,855,1312
ENSG00000122783,358,414,388,462,436,758
ENSG00000122786,12950,15629,13209,4727,4359,3418
ENSG00000122787,6,2,7,1,0,1
ENSG00000122824,185,168,252,519,458,562
ENSG00000122852,0,0,1,1,0,0
ENSG00000122859,13,28,28,7,8,14
ENSG00000122861,821,940,848,927,883,1902
ENSG00000122862,0,1,3,10,2,3
ENSG00000122863,4202,4935,3261,2070,1853,2833
ENSG00000122870,459,532,661,507,455,505
ENSG00000122873,1481,1704,1460,1441,1309,1801
ENSG00000122877,27,32,25,139,132,161
ENSG00000122882,1690,1842,1686,2292,1891,2752
ENSG00000122884,1147,1230,1145,1515,1253,1280
ENSG00000122912,1091,1121,981,1167,1137,1298
ENSG00000122952,691,577,1173,4576,4303,5994
ENSG00000122958,2255,2509,2591,2655,2395,3351
ENSG00000122965,3273,3269,2953,3846,3750,6456
ENSG00000122966,429,347,804,4880,4434,6187
ENSG00000122970,473,422,466,291,254,305
ENSG00000122971,530,484,576,573,581,731
ENSG00000122986,8,4,14,6,3,5
ENSG00000123064,4175,3731,3768,5806,5007,9676
ENSG00000123066,4393,4577,4124,4138,3856,4177
ENSG00000123080,195,165,349,924,903,924
ENSG00000123091,4089,4537,3817,1437,1242,1541
ENSG00000123094,1099,1187,1306,1873,1731,2269
ENSG00000123095,536,383,739,2119,1740,910
ENSG00000123096,18,13,38,81,73,51
ENSG00000123104,1874,2028,1701,1643,1451,1993
ENSG00000123106,1535,1671,1512,1057,1011,1458
ENSG00000123119,240,258,208,385,392,379
ENSG00000123124,2862,3464,2830,2168,2066,2281
ENSG00000123130,1292,1312,1141,1266,1184,1625
ENSG00000123131,1373,1414,1247,1861,1726,2298
ENSG00000123136,3954,3686,3633,6308,5883,10482
ENSG00000123143,5245,4635,5753,8526,7346,13331
ENSG00000123144,5242,4695,5315,5873,5099,8661
ENSG00000123146,1051,1135,982,1888,1705,2625
ENSG00000123154,211,256,184,228,217,322
ENSG00000123159,6251,6124,6025,4357,3865,5763
ENSG00000123165,2,5,3,0,0,0
ENSG00000123171,0,0,0,0,0,0
ENSG00000123178,292,267,251,500,453,723
ENSG00000123179,349,344,412,742,675,782
ENSG00000123191,598,653,573,425,410,500
ENSG00000123200,2697,2862,2607,3220,3139,3981
ENSG00000123213,910,906,948,1686,1415,1674
ENSG00000123219,86,78,137,452,440,556
ENSG00000123240,12492,13375,11372,7534,7200,8367
ENSG00000123243,907,844,1143,200,163,140
ENSG00000123268,1130,1290,1229,1113,1087,1238
ENSG00000123297,368,437,363,584,563,802
ENSG00000123307,0,0,0,0,2,2
ENSG00000123329,14,9,22,17,16,15
ENSG00000123338,0,1,0,0,0,0
ENSG00000123342,693,641,573,279,248,207
ENSG00000123349,4363,4559,4332,4770,4317,5536
ENSG00000123352,3059,3130,3124,2358,2134,2822
ENSG00000123353,775,728,828,574,517,826
ENSG00000123358,2827,2634,2421,1682,1556,5512
ENSG00000123360,20,11,15,90,62,93
ENSG00000123364,1124,970,995,571,491,639
ENSG00000123374,833,792,962,1675,1577,1996
ENSG00000123384,14909,14600,14689,4091,3579,3168
ENSG00000123388,324,322,334,465,399,603
ENSG00000123395,1374,1499,1263,1627,1544,2433
ENSG00000123405,38,31,35,18,26,8
ENSG00000123407,1,1,0,0,2,0
ENSG00000123411,528,539,470,539,506,672
ENSG00000123415,654,723,630,833,752,943
ENSG00000123416,4412,3507,6050,13817,12561,19311
ENSG00000123427,83,99,76,150,148,182
ENSG00000123444,167,211,196,263,225,350
ENSG00000123453,1,0,4,6,3,0
ENSG00000123454,0,1,1,3,1,4
ENSG00000123472,888,985,992,1614,1380,1454
ENSG00000123473,287,301,413,1439,1303,1419
ENSG00000123485,247,232,610,3167,2977,3962
ENSG00000123496,43,55,41,48,47,58
ENSG00000123500,6,4,9,11,10,7
ENSG00000123505,2044,2362,1988,3637,3460,4209
ENSG00000123545,419,406,360,852,769,961
ENSG00000123552,561,547,604,630,589,787
ENSG00000123560,2,1,5,6,7,0
ENSG00000123561,0,0,0,0,0,0
ENSG00000123562,3348,3506,3222,4738,4389,5091
ENSG00000123569,0,0,0,0,0,0
ENSG00000123570,52,45,61,61,49,62
ENSG00000123572,19,14,12,9,6,38
ENSG00000123575,1565,1689,1512,1560,1424,1426
ENSG00000123576,0,0,0,0,0,0
ENSG00000123584,0,0,0,0,0,0
ENSG00000123594,0,0,0,0,0,0
ENSG00000123595,746,697,662,350,320,478
ENSG00000123600,935,1026,684,889,876,1206
ENSG00000123607,656,768,750,1090,1008,1088
ENSG00000123609,635,685,765,1070,988,1374
ENSG00000123610,0,1,0,0,0,0
ENSG00000123612,63,74,71,77,82,151
ENSG00000123636,1792,2015,1751,1163,1023,898
ENSG00000123643,1776,1805,1655,1135,1099,1853
ENSG00000123684,1858,2083,2206,2665,2594,2609
ENSG00000123685,202,199,259,588,533,1090
ENSG00000123689,50,43,22,302,304,230
ENSG00000123700,62,72,57,43,29,39
ENSG00000123728,2034,1877,1795,1618,1476,1989
ENSG00000123737,564,531,708,1531,1393,1705
ENSG00000123739,509,559,556,539,473,571
ENSG00000123810,149,159,155,202,206,264
ENSG00000123815,2330,2287,2332,1984,1775,2920
ENSG00000123836,2923,3022,2913,3709,3470,5119
ENSG00000123838,0,0,0,0,0,0
ENSG00000123843,3,11,11,1,0,0
ENSG00000123892,38,34,49,95,114,138
ENSG00000123901,14,3,6,25,9,31
ENSG00000123908,10357,9846,9475,17236,16323,28773
ENSG00000123933,6110,5589,6049,3338,2818,3813
ENSG00000123975,1584,1215,1895,5628,5334,5283
ENSG00000123977,6,5,1,9,11,19
ENSG00000123983,6013,6562,6020,5168,4797,6700
ENSG00000123989,14268,12849,12747,3751,3206,6837
ENSG00000123992,3861,3671,3728,3372,3051,4973
ENSG00000123999,13,8,10,12,5,22
ENSG00000124003,3,1,5,6,4,11
ENSG00000124006,4574,3884,5044,3549,2956,4911
ENSG00000124019,0,0,0,0,0,0
ENSG00000124067,10500,10463,8777,4319,3839,6860
ENSG00000124074,755,701,870,785,661,1487
ENSG00000124089,0,0,0,0,0,0
ENSG00000124091,31,27,16,31,16,28
ENSG00000124092,41,46,61,44,45,27
ENSG00000124098,2920,3302,2750,1790,1602,1351
ENSG00000124102,14,17,7,4,4,6
ENSG00000124103,16,4,5,2,2,8
ENSG00000124104,498,481,562,616,516,941
ENSG00000124107,0,1,2,8,5,1
ENSG00000124116,241,239,196,99,103,224
ENSG00000124120,1780,1995,1656,1688,1761,2610
ENSG00000124126,1484,1380,1509,1026,911,1455
ENSG00000124134,29,25,15,7,14,10
ENSG00000124140,411,421,503,170,158,206
ENSG00000124143,34,30,37,98,96,140
ENSG00000124145,2476,2661,3079,4949,4790,9116
ENSG00000124151,1604,1827,1391,1768,1671,1784
ENSG00000124155,5715,5684,5829,4678,4210,6732
ENSG00000124157,0,0,0,0,0,0
ENSG00000124159,46,54,46,127,94,174
ENSG00000124160,1162,1278,1282,1556,1459,2331
ENSG00000124164,1929,1994,1926,2455,2333,2974
ENSG00000124171,245,269,198,206,189,237
ENSG00000124172,8340,7709,8255,8844,7606,10985
ENSG00000124177,2950,2961,2727,2248,1993,2273
ENSG00000124181,9070,9367,9083,4990,4841,6707
ENSG00000124191,186,177,243,521,425,448
ENSG00000124193,4452,4735,4630,7758,7010,8278
ENSG00000124194,187,166,185,57,46,116
ENSG00000124196,0,0,0,0,0,0
ENSG00000124198,3584,4062,3192,2919,2754,4187
ENSG00000124201,3960,4092,3017,2864,2610,3769
ENSG00000124203,0,0,7,0,1,0
ENSG00000124205,11,27,28,0,0,1
ENSG00000124207,1859,1921,2323,6515,6068,6525
ENSG00000124208,0,0,0,0,0,0
ENSG00000124209,3862,4328,3739,3187,3033,4366
ENSG00000124212,140,102,187,83,90,62
ENSG00000124214,5307,5629,5324,5805,5541,7080
ENSG00000124215,4,6,4,5,5,2
ENSG00000124216,127,117,98,193,189,313
ENSG00000124217,512,534,425,534,463,800
ENSG00000124222,3449,3689,3208,3624,3512,3879
ENSG00000124225,10148,9438,11464,16368,13630,16344
ENSG00000124226,2033,2061,1884,2500,2155,3241
ENSG00000124227,0,0,0,0,0,0
ENSG00000124228,2185,2134,2081,3485,3260,5410
ENSG00000124232,11,11,18,13,24,21
ENSG00000124233,1,0,0,0,0,0
ENSG00000124237,0,0,0,0,0,0
ENSG00000124243,273,287,311,367,318,407
ENSG00000124249,1,0,1,1,1,2
ENSG00000124251,125,94,82,51,56,73
ENSG00000124253,0,0,0,0,1,0
ENSG00000124256,2,5,9,0,0,0
ENSG00000124257,12,15,14,25,21,36
ENSG00000124260,2090,2436,2185,2177,2075,2485
ENSG00000124275,1137,1230,1084,1613,1517,2221
ENSG00000124279,328,364,320,394,357,414
ENSG00000124299,5216,5069,5697,4457,3778,7121
ENSG00000124302,17,9,15,30,42,54
ENSG00000124313,898,806,988,871,815,1092
ENSG00000124333,2058,2350,2103,2057,2019,2271
ENSG00000124334,4,18,9,8,5,13
ENSG00000124343,3,4,4,0,0,0
ENSG00000124356,2395,2489,2277,2407,2302,3274
ENSG00000124357,2622,2601,2627,2987,2770,4192
ENSG00000124370,128,145,168,277,268,268
ENSG00000124374,794,803,756,809,754,686
ENSG00000124380,886,936,816,684,605,815
ENSG00000124383,1177,1310,1113,2175,1958,2919
ENSG00000124391,5,6,2,2,3,8
ENSG00000124406,792,816,795,1388,1273,1187
ENSG00000124422,11576,12005,11811,10409,9531,12342
ENSG00000124429,2,1,1,2,1,6
ENSG00000124440,12,17,13,0,2,17
ENSG00000124444,374,422,359,400,332,467
ENSG00000124449,4,1,1,0,2,4
ENSG00000124459,618,798,690,810,808,830
ENSG00000124466,33,39,47,40,30,36
ENSG00000124467,41,39,51,58,75,175
ENSG00000124469,0,0,1,1,0,0
ENSG00000124479,0,0,0,0,0,0
ENSG00000124486,8567,9352,8169,7653,7140,8453
ENSG00000124490,17,7,11,45,30,54
ENSG00000124491,446,606,579,8,4,11
ENSG00000124493,1,0,1,9,4,7
ENSG00000124496,1221,1154,1256,1057,922,900
ENSG00000124507,111,82,154,322,261,292
ENSG00000124508,1097,1181,858,456,429,430
ENSG00000124523,204,217,186,174,184,224
ENSG00000124532,726,814,728,891,793,917
ENSG00000124535,1352,1333,1331,1839,1716,2505
ENSG00000124541,3089,3325,3197,3317,3042,4707
ENSG00000124557,0,0,0,0,0,0
ENSG00000124562,5614,6260,5802,9203,8604,10476
ENSG00000124564,0,0,0,0,0,0
ENSG00000124568,0,0,0,0,0,0
ENSG00000124570,572,586,598,746,730,809
ENSG00000124571,6987,7939,6104,11234,10659,13949
ENSG00000124574,3574,3565,3165,2325,2214,3458
ENSG00000124575,21,24,8,5,1,1
ENSG00000124587,510,509,406,462,435,629
ENSG00000124588,234,205,260,357,338,521
ENSG00000124593,741,783,895,664,637,561
ENSG00000124596,2093,2083,2168,3049,2792,3600
ENSG00000124602,415,422,381,283,267,465
ENSG00000124608,1669,1666,1468,2875,2450,4561
ENSG00000124610,3,0,0,0,1,1
ENSG00000124613,137,155,135,224,214,252
ENSG00000124614,198,185,174,285,247,539
ENSG00000124615,2615,2659,2516,2785,2507,3597
ENSG00000124635,222,219,202,397,421,144
ENSG00000124641,3740,4051,3598,5354,4916,4575
ENSG00000124657,0,0,0,0,0,0
ENSG00000124659,1104,1165,926,1298,1208,1925
ENSG00000124664,81,74,78,44,41,82
ENSG00000124678,18,16,13,19,15,18
ENSG00000124688,1581,1682,1425,2066,1834,2592
ENSG00000124701,61,53,49,20,24,46
ENSG00000124702,10601,10353,9993,9372,8706,10555
ENSG00000124713,55,84,67,85,62,80
ENSG00000124721,74,77,40,26,19,43
ENSG00000124731,0,1,0,0,0,35
ENSG00000124733,2823,2570,3312,5329,4773,6468
ENSG00000124743,20,31,26,78,83,111
ENSG00000124749,22,31,30,9,8,7
ENSG00000124762,41507,42541,31434,11438,10756,15381
ENSG00000124766,3487,2877,4601,6519,5387,3701
ENSG00000124767,13322,14764,13841,11897,11106,15781
ENSG00000124772,423,431,306,268,272,485
ENSG00000124780,0,0,1,0,0,0
ENSG00000124782,1473,1443,1363,1567,1347,2292
ENSG00000124783,3005,3078,3318,3334,3120,3685
ENSG00000124784,643,690,578,1025,1022,1469
ENSG00000124785,239,228,243,124,118,133
ENSG00000124786,390,472,424,314,333,473
ENSG00000124787,362,355,353,456,394,538
ENSG00000124788,1135,1198,1051,966,751,1242
ENSG00000124789,1865,2179,1884,2568,2391,3028
ENSG00000124795,1970,2087,2629,6442,6055,7140
ENSG00000124802,137,166,155,339,364,350
ENSG00000124812,0,0,0,0,0,0
ENSG00000124813,4287,3638,4327,3478,2977,3632
ENSG00000124818,1,2,3,0,0,1
ENSG00000124827,0,0,0,0,0,0
ENSG00000124831,2163,2436,2127,2680,2597,4753
ENSG00000124839,93,89,119,178,160,154
ENSG00000124875,3,15,5,0,0,1
ENSG00000124882,60,68,75,257,275,469
ENSG00000124900,0,1,0,0,0,0
ENSG00000124920,2373,2331,2020,1412,1161,1637
ENSG00000124935,0,0,0,0,0,0
ENSG00000124939,0,0,2,0,0,0
ENSG00000124942,11540,13313,14700,14655,13106,12567
ENSG00000125037,1155,1159,1122,1003,851,1334
ENSG00000125046,20,9,13,14,13,13
ENSG00000125084,0,2,0,2,3,1
ENSG00000125089,465,398,503,525,519,989
ENSG00000125107,6711,7351,6370,9096,8436,9844
ENSG00000125122,45,36,47,58,66,81
ENSG00000125124,1033,1211,1041,1096,1067,1067
ENSG00000125144,86,74,101,1189,1062,1556
ENSG00000125148,5497,5435,4094,27577,26875,57046
ENSG00000125149,1045,1176,917,1035,955,1339
ENSG00000125166,3574,3652,3535,6341,5902,7603
ENSG00000125170,1704,1731,1789,1611,1423,2005
ENSG00000125207,2,1,4,1,3,4
ENSG00000125245,2,0,6,3,0,2
ENSG00000125246,72,47,45,98,90,156
ENSG00000125247,218,236,261,350,328,406
ENSG00000125249,857,910,832,598,586,574
ENSG00000125255,0,0,0,0,0,0
ENSG00000125257,485,535,458,655,579,848
ENSG00000125266,6,7,3,9,3,15
ENSG00000125285,0,0,1,0,0,4
ENSG00000125304,1665,1841,1724,1415,1312,1642
ENSG00000125319,107,100,158,638,591,880
ENSG00000125337,5,2,4,2,9,7
ENSG00000125347,797,825,990,403,339,370
ENSG00000125351,461,539,513,971,902,916
ENSG00000125352,110,122,118,184,142,281
ENSG00000125354,394,426,512,623,601,516
ENSG00000125355,89,130,147,17,10,4
ENSG00000125356,1473,1243,1537,2169,1810,2180
ENSG00000125363,0,0,0,1,0,0
ENSG00000125375,1036,1098,999,1073,984,1241
ENSG00000125378,4060,4097,5868,2678,2280,1856
ENSG00000125384,5,4,10,9,6,6
ENSG00000125386,1213,1176,1099,1125,1082,1647
ENSG00000125388,125,118,125,169,155,240
ENSG00000125398,8067,6872,7437,10560,9750,17065
ENSG00000125409,2,2,5,2,0,4
ENSG00000125414,44,47,40,49,51,99
ENSG00000125430,0,1,0,1,1,0
ENSG00000125434,40,42,68,87,79,96
ENSG00000125445,3374,3593,3462,4786,4492,5289
ENSG00000125447,7466,7322,6455,6308,5786,9551
ENSG00000125449,892,868,852,857,738,993
ENSG00000125450,2177,2170,2529,5910,5367,7967
ENSG00000125454,375,368,354,1162,1040,1839
ENSG00000125457,746,721,749,1184,1140,1746
ENSG00000125458,1020,1007,1096,1928,1642,3017
ENSG00000125459,1159,1017,1071,1207,1074,2115
ENSG00000125462,105,107,118,1146,1100,1395
ENSG00000125482,507,582,575,729,731,1091
ENSG00000125484,1596,1763,1613,2429,2309,3021
ENSG00000125485,1093,1222,829,982,856,1255
ENSG00000125492,14,11,5,13,4,13
ENSG00000125498,2,5,0,0,0,1
ENSG00000125503,5011,4496,4268,2974,2570,5587
ENSG00000125505,4457,3948,4495,4483,3960,7034
ENSG00000125508,5,3,6,18,17,20
ENSG00000125510,16,17,14,11,2,5
ENSG00000125520,1814,1180,1884,2377,1844,3283
ENSG00000125522,0,0,1,0,0,3
ENSG00000125531,4,3,1,1,1,7
ENSG00000125533,17,14,15,13,9,17
ENSG00000125534,1801,1574,2058,3127,2846,4534
ENSG00000125538,24,31,20,24,30,40
ENSG00000125551,29,54,28,11,4,10
ENSG00000125571,7,11,9,11,7,8
ENSG00000125611,1056,804,1025,1520,1377,2360
ENSG00000125618,288,316,166,51,43,128
ENSG00000125629,505,620,586,621,587,550
ENSG00000125630,1807,1951,1604,3596,3377,4655
ENSG00000125633,4635,5258,3993,4781,4599,6147
ENSG00000125637,509,639,580,349,328,751
ENSG00000125648,6261,6353,5777,4320,4007,5477
ENSG00000125650,155,149,159,125,117,125
ENSG00000125651,3313,3367,3149,2699,2572,4552
ENSG00000125652,1488,1472,1423,1059,866,1408
ENSG00000125656,1113,1093,1035,1476,1370,2014
ENSG00000125657,1260,1529,1282,441,403,555
ENSG00000125675,2,0,0,3,2,5
ENSG00000125676,2440,2742,2029,2170,1941,2562
ENSG00000125686,3251,3565,2989,4125,3942,4639
ENSG00000125691,15806,14800,17476,26625,24699,37632
ENSG00000125695,0,0,0,0,0,0
ENSG00000125703,248,253,277,439,361,417
ENSG00000125726,2267,2513,2242,478,395,324
ENSG00000125730,290,293,274,242,237,220
ENSG00000125731,232,218,287,515,462,758
ENSG00000125733,3454,3631,3312,3181,2970,3578
ENSG00000125734,1375,1241,1209,1149,1074,1667
ENSG00000125735,0,0,1,0,0,1
ENSG00000125740,66,60,55,104,64,84
ENSG00000125741,1881,1882,1650,1402,1299,2064
ENSG00000125743,3943,3458,4009,6397,5888,7145
ENSG00000125744,672,603,661,560,477,520
ENSG00000125746,544,534,490,427,405,752
ENSG00000125753,3001,3089,2639,2618,2549,4359
ENSG00000125755,4787,4592,4146,4465,4187,7892
ENSG00000125772,247,257,242,561,505,882
ENSG00000125775,35,42,20,38,37,54
